top5ledigtdejtande.se;['2606:4700:30::681f:50d5', '2606:4700:30::681f:51d5'];[300, 300];['13335', '13335', '16509', '15169', '15169', '54113', '8068', '15169', '15169', '32934', '16625', '54113', '23467', '15169', '15169', '15169', '32934', '22075'];['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['2606:4700:30::681f:51d5', '2606:4700::6813:c497', '2600:9000:20bb:ca00:4:b1fe:7e40:21', '2a00:1450:4001:81b::2008', '2a00:1450:4001:81a::200a', '151.101.2.110', '2620:1ec:c11::200', '216.58.207.34', '2a00:1450:4001:817::200e', '2a03:2880:f01c:216:face:b00c:0:3', '2.18.234.190', '151.101.2.2', '162.247.242.18', '2a00:1450:4001:814::2002', '2a00:1450:4001:81a::2004', '2a00:1450:4001:808::2003', '2a03:2880:f11c:8083:face:b00c:0:25de', '64.74.236.19'];[1537131600.0, 1568667600.0, 1537131600.0];0
masificados.com;['50.56.10.227'];[600];['19994', '13335', '15169', '15169', '20940', '15169', '16625', '20940', '15169', '15169', '15169', '15169', '14080', '15169', '15169', '15169', '32934', '8220', '24940', '24940', '32934', '15169', '15169', '15169', '15169', '15169'];['US', 'US', 'US', 'US', 'EU', 'US', 'US', 'EU', 'US', 'US', 'US', 'US', 'CO', 'US', 'US', 'US', 'US', 'FR', 'DE', 'DE', 'US', 'US', 'US', 'US', 'US', 'US'];['50.56.10.227', '2606:4700::6810:df3', '2a00:1450:4001:815::2002', '2a00:1450:4001:80b::200a', '2.16.186.80', '216.58.210.2', '104.125.24.244', '2a02:26f0:6c00:19c::268b', '2a00:1450:4001:820::200e', '2a00:1450:4001:809::2008', '2a00:1450:4001:820::2002', '172.217.22.2', '181.49.176.107', '2a00:1450:400c:c00::9d', '2a00:1450:4001:821::2004', '2a00:1450:4001:818::2003', '2a03:2880:f01c:216:face:b00c:0:3', '213.229.152.166', '148.251.158.115', '178.63.12.147', '2a03:2880:f11c:8083:face:b00c:0:25de', '2a00:1450:4001:81d::2001', '2a00:1450:4001:820::2001', '2a00:1450:4001:808::2002', '2a00:1450:4001:814::2014', '2a00:1450:4001:818::2002'];[1356719929.0, 1609180729.0, 1539882910.0];0
skintrades.com;['104.24.109.125', '104.24.108.125'];[300, 300];['13335', '13335', '15169', '20446', '20446', '13335'];['US', 'US', 'US', 'US', 'US', 'US'];['2606:4700:30::6818:6c7d', '2606:4700:30::6818:6d7d', '2a00:1450:4001:81a::200a', '209.197.3.15', '205.185.208.52', '2606:4700::6813:c497'];[1446573016.0, 1699033816.0, 1523866288.0];0
turelajacion.wordpress.com;[b'lb.wordpress.com.', '192.0.78.12', '192.0.78.13'];[14400, 261, 261];['2635', '2635', '15169', '16509', '15169', '15169', '2635', '2635', '15133', '2635', '2635', '29990', '14618', '16625', '15133', '62713', '16276', '20446', '15169', '15169', '15169', '16625', '16625', '2635'];['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'FR', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['192.0.78.12', '192.0.77.32', '2a00:1450:4001:808::200a', '63.34.110.240', '2a00:1450:4001:815::2008', '2a00:1450:4001:821::2003', '192.0.72.22', '2a04:fa87:fffe::c000:4902', '2606:2800:234:46c:e8b:1e2f:2bd:694', '192.0.76.3', '192.0.77.38', '185.33.223.218', '34.233.239.223', '92.122.254.4', '152.195.39.114', '185.64.189.112', '54.37.115.96', '151.139.128.10', '35.190.59.101', '35.190.40.172', '35.201.67.47', '2.18.233.180', '92.122.253.36', '192.0.78.13'];[952078403.0, 1583230403.0, 1484254390.0];0
saradahentai.com;['2606:4700:30::6812:3040', '2606:4700:30::6812:3140'];[300, 300];['13335', '20446', '15169', '20940', '15133', '15169', '15169', '15169', '15169', '32934', '32934', '15169', '15169', '60781', '20940', '16509', '32934'];['US', 'US', 'US', 'EU', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'NL', 'EU', 'US', 'US'];['2606:4700:30::6812:3140', '209.197.3.15', '2a00:1450:4001:81a::200a', '23.43.125.145', '2606:2800:234:1f1f:1754:1fef:718:1223', '2a00:1450:4001:81d::2001', '2a00:1450:4001:81c::2001', '2a00:1450:4001:825::2001', '2a00:1450:4001:806::2001', '2a03:2880:f02d:12:face:b00c:0:3', '2a03:2880:f01c:216:face:b00c:0:3', '2a00:1450:4001:821::200e', '2a00:1450:4001:806::2003', '95.211.229.245', '2.16.186.243', '18.194.100.38', '2a03:2880:f11c:8083:face:b00c:0:25de'];[1525055539.0, 1588213939.0, 1552344377.0];0
horriblesubs.info;['104.24.109.17', '104.24.108.17'];[300, 300];['13335', '13335', '15169', '16625', '19324', '13335', '54113', '54113', '15169', '20940', '13335', '54113', '16509', '15169', '15169'];['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'EU', 'US', 'US', 'US', 'US', 'US'];['2606:4700:30::6818:6d11', '2606:4700:30::6818:6c11', '2a00:1450:4001:821::200a', '104.103.109.149', '69.172.200.121', '2606:4700:30::6818:60f3', '151.101.0.69', '151.101.36.134', '2a00:1450:4001:821::2003', '23.35.149.73', '2606:4700::6810:4ea6', '151.101.0.134', '18.194.100.38', '2a00:1450:4001:821::2004', '2a00:1450:4001:814::200e'];[1324267469.0, 1608350669.0, 1551725112.0];0
champlainbank.com;['74.200.58.25'];[7200];['30605', '15169', '15169', '15169'];['US', 'US', 'US', 'US'];['74.200.58.25', '2a00:1450:4001:808::200a', '2a00:1450:4001:814::200e', '2a00:1450:4001:81c::2003'];[943458043.0, 1669304443.0, 1507049948.0];0
movierulzth.com;['2606:4700:30::6812:3491', '2606:4700:30::6812:3591'];[300, 300];['13335', '13335', '15169', '15169'];['US', 'US', 'US', 'US'];['2606:4700:30::6812:3491', '2606:4700:30::6812:2bee', '2a00:1450:4001:81c::2008', '2a00:1450:4001:80b::200e'];[1544878184.0, 1576414184.0, 1544879178.0];0
clickfh.com;['52.21.250.245', '54.87.192.230'];[60, 60];['14618', '13335', '16509', '16509', '15169', '32934', '15169', '15169', '15169', '15169', '20446', '15169'];['US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['54.87.192.230', '2606:4700::6813:c397', '52.216.128.77', '143.204.207.9', '2a00:1450:4001:80b::200e', '2a03:2880:f01c:216:face:b00c:0:3', '2a00:1450:4001:81e::200a', '2a00:1450:4001:808::2004', '2a00:1450:400c:c0c::9c', '2a00:1450:4001:818::200a', '209.197.3.15', '2a00:1450:4001:80b::2003'];[1334846696.0, 1618843496.0, 1546446883.0];0
markmillersubarusouthtowne.com;[b'Le0062.secure.dealer.com.edgekey.net.', b'e26295.dscx.akamaiedge.net.', '72.246.151.136', '72.246.151.138'];[300, 21600, 20, 20];['20940', '20940', '20940', '16509', '16625', '15169', '16509', '16509', '16509', '16625', '16625', '16509', '15169', '16509', '15169', '16625', '8068', '32934', '15169', '16509', '15169', '15169', '15169', '13335', '15169', '16509', '32934', '13335', '16625', '16509', '16509', '54113', '33047', '16509', '16509', '15224', '15224', '54436', '14618', '27281', '16509', '27281', '16509', '14618', '16509', '19551', '19551'];['EU', 'EU', 'EU', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US', 'US'];['2a02:26f0:f4:389::66b7', '2a02:26f0:eb:182::66b7', '2a02:26f0:eb:1b3::4b0', '13.35.253.78', '104.111.214.69', '172.217.18.2', '13.35.255.55', '13.35.253.48', '2600:9000:20bb:6400:6:5a0f:e940:93a1', '2.18.232.23', '104.111.241.80', '2600:9000:20bb:6a00:1:c4b0:d400:93a1', '2a00:1450:4001:81c::200e', '2600:9000:20bb:8000:1c:9a32:9200:93a1', '2a00:1450:4001:821::200e', '104.111.236.14', '2620:1ec:c11::200', '2a03:2880:f01c:216:face:b00c:0:3', '2a00:1450:4001:824::2002', '2600:9000:20bb:da00:c:f20a:fbc0:93a1', '2a00:1450:4001:809::2008', '2a00:1450:4001:817::2004', '2a00:1450:4001:819::2003', '2606:4700::6813:9308', '2a00:1450:400c:c0a::9a', '13.35.253.14', '2a03:2880:f11c:8083:face:b00c:0:25de', '2606:4700::6813:c597', '104.111.214.229', '63.32.205.18', '54.187.135.80', '151.101.2.2', '159.180.84.2', '2600:9000:20bb:8e00:19:2275:c3c0:93a1', '52.209.176.49', '66.117.29.224', '66.117.28.86', '50.59.43.66', '18.232.196.178', '91.228.74.195', '2600:9000:20bb:4600:6:44e3:f8c0:93a1', '91.228.74.249', '13.35.253.12', '2600:1f18:422a:5200:8942:6f90:8b70:631b', '2600:9000:20bb:4800:18:3c51:99c0:93a1', '45.60.47.63', '107.154.80.249'];[1256307603.0, 1603459203.0, 1533304650.0];0
