,resolutions_count,subdomains_count,dns_records_count,https_validity,ssl_exists
adobe.com,3.0,100.0,23.0,1575633600,1
adorocinema.com,2.0,32.0,18.0,1611446399,1
adovr.com,11.0,8.0,16.0,1592395200,1
adp.com,3.0,100.0,16.0,1627819200,1
adributor.tv,69.0,4.0,9.0,1581638399,1
adro.co,5.0,58.0,7.0,1575011186,1
adssuper.com,3.0,5.0,6.0,1572686056,1
advancedplacementamericanhistory.weebly.com,2.0,1.0,0.0,43200,0
advantageengagement.com,2.0,4.0,8.0,1625659200,1
advicelocal.com,6.0,10.0,12.0,1583597200,1
advtdwloadmovingpictures2014.wordpress.com,1.0,0.0,0.0,43200,0
adwallpapers.xyz,5.0,1.0,10.0,1572609600,1
adyen.com,2.0,89.0,13.0,43200,0
adyou.co,4.0,1.0,7.0,43200,0
aeromotiveinc.com,8.0,3.0,10.0,1570493393,1
afghans.asia,1.0,1.0,0.0,43200,0
afilosofarsehadicho.jimdo.com,43.0,1.0,5.0,1623758400,1
afkarnews.com,5.0,6.0,11.0,1569052232,1
afkimel.wordpress.com,9.0,1.0,0.0,43200,0
afreecatv.com,5.0,100.0,12.0,1567944000,1
africaconnects.net,1.0,1.0,8.0,1568546195,1
africaintelligence.fr,8.0,2.0,11.0,43200,0
afrique-gouvernance.net,1.0,11.0,7.0,43200,0
afrtrk.com,1.0,1.0,8.0,1612483199,1
aftonbladet.se,8.0,100.0,19.0,1592654400,1
agah.com,3.0,30.0,5.0,1579219199,1
agame.com,13.0,78.0,5.0,1599048000,1
agar.io,45.0,100.0,20.0,1574035199,1
agenciaeventosmadrid.com,1.0,6.0,6.0,1574035199,1
agencyclick.com,2.0,3.0,15.0,43200,0
agkitmexico.myshopify.com,1.0,0.0,0.0,43200,0
aglasem.com,41.0,45.0,17.0,1596283200,1
agoda.com,2.0,100.0,12.0,1599220800,1
agpa.org,3.0,7.0,7.0,1574683382,1
agreeablegrace.com,2.0,25.0,7.0,1581897599,1
ahlmasrnews.com,34.0,2.0,13.0,1571443199,1
ahref.io,5.0,0.0,10.0,1592913600,1
aicdn.com,8.0,100.0,10.0,43200,0
aicr.org,3.0,33.0,11.0,1571578968,1
aievision.com,6.0,2.0,7.0,1573973028,1
aimeecustis.com,5.0,1.0,19.0,1573160310,1
air-journal.fr,4.0,2.0,7.0,1594079999,1
airbnb.com,126.0,100.0,33.0,1580299200,1
airbuddy.net,1.0,1.0,0.0,43200,0
airitaly.com,3.0,11.0,9.0,1612795649,1
airmiles.ca,2.0,47.0,8.0,1613736000,1
airwayfuncenter.com,5.0,1.0,10.0,1569821543,1
ajel.sa,31.0,7.0,20.0,1570751999,1
akhayar.com,30.0,2.0,11.0,1601160051,1
akoam.net,5.0,11.0,11.0,1575071999,1
aksam.com.tr,14.0,30.0,10.0,1578527999,1
akurat.co,7.0,29.0,9.0,1583193599,1
al3omk.com,178.0,14.0,11.0,1582415999,1
alamy.com,6.0,50.0,22.0,1591963200,1
alanylons.com,1.0,2.0,8.0,43200,0
alarab.com,8.0,81.0,10.0,1568159999,1
alarabiya.net,5.0,47.0,21.0,1600689858,1
alaskaair.com,3.0,100.0,12.0,1609625490,1
albawabhnews.com,124.0,8.0,10.0,1580083199,1
alberodelparadiso.it,1.0,4.0,0.0,43200,0
alborj1.sharepoint.com,0.0,0.0,0.0,43200,0
alc.co.jp,4.0,56.0,13.0,1568966579,1
aldozelnick.com,2.0,1.0,6.0,43200,0
alenuty.pl,3.0,1.0,0.0,43200,0
alexiafreire.com,3.0,1.0,8.0,43200,0
alfalfalfa.com,5.0,4.0,7.0,1593529140,1
algamo.cz,2.0,1.0,6.0,43200,0
algo.io,2.0,1.0,12.0,1573768722,1
ali213.net,10.0,100.0,6.0,1586606400,1
alicjamajewska.com.pl,1.0,1.0,6.0,1594991243,1
aliexpress.com,10.0,100.0,8.0,1597462272,1
alikhbariaattounsia.com,3.0,11.0,6.0,1571011199,1
alio.go.kr,2.0,8.0,0.0,43200,0
alipay.com,5.0,100.0,9.0,43200,0
alison.com,3.0,28.0,17.0,1587242078,1
alittlebityummy.com,4.0,6.0,14.0,1579996799,1
aliyun.com,27.0,100.0,19.0,1581833765,1
alizazvia.com,2.0,2.0,6.0,1567987199,1
aljaras.com,28.0,5.0,13.0,1577491199,1
aljazeera.com,196.0,50.0,10.0,1575633600,1
aljazeera.net,102.0,100.0,10.0,1583323200,1
all-free-download.com,6.0,11.0,9.0,1593407930,1
all123movies.se,2.0,1.0,7.0,1580947199,1
allaboutscala.com,3.0,4.0,6.0,1573415620,1
allbest.ru,3.0,19.0,8.0,1571400000,1
allcalidad.net,5.0,1.0,8.0,1576238400,1
alldup.info,2.0,1.0,6.0,43200,0
allegro.pl,28.0,100.0,14.0,1599220800,1
allfulldownload.com,2.0,5.0,9.0,43200,0
allkpop.com,11.0,16.0,16.0,1586044799,1
allmoviemm.com,11.0,1.0,7.0,1581811199,1
allmusic.com,5.0,29.0,13.0,1630281599,1
allpianoscores.com,4.0,1.0,6.0,43200,0
ally.com,20.0,100.0,15.0,1585854361,1
almaany.com,8.0,2.0,13.0,1578787199,1
almnatiq.net,10.0,3.0,13.0,1573819200,1
alnaharegypt.com,19.0,1.0,11.0,1580947199,1
alnassrah.com,4.0,3.0,0.0,43200,0
alodokter.com,9.0,9.0,14.0,1577534400,1
alphalists.com,1.0,2.0,6.0,1569861227,1
alphaweather.net,2.0,1.0,0.0,43200,0
alpinwater.com,3.0,1.0,6.0,1615377600,1
alsjl-news.com,3.0,1.0,12.0,1583020799,1
alsolta.net,2.0,1.0,13.0,43200,0
alstexas.org,3.0,4.0,0.0,43200,0
altadefinizione01.it,4.0,1.0,5.0,43200,0
alternatives.ca,2.0,35.0,9.0,1571694179,1
altervista.org,2.0,100.0,11.0,1610625600,1
alumnosuacj.sharepoint.com,5.0,0.0,0.0,43200,0
alwafd.news,50.0,2.0,13.0,1570319999,1
alwakeelnews.com,14.0,12.0,9.0,1579996799,1
alwatanvoice.com,30.0,27.0,18.0,1575244799,1
alwindsor.co.uk,1.0,1.0,8.0,1573509630,1
alyeskaresort.com,1.0,10.0,12.0,43200,0
alza.cz,8.0,45.0,11.0,1622462400,1
amaidenenergy.com,3.0,5.0,6.0,1572514632,1
amandablank.com,2.0,1.0,6.0,1570492799,1
amarugujarat.com,7.0,8.0,9.0,1582027200,1
amarujala.com,13.0,100.0,11.0,1583539199,1
amateurradio.com,7.0,1.0,9.0,1583625599,1
amazon.ca,8.0,84.0,18.0,1577966400,1
amazon.cn,3.0,100.0,15.0,1577793600,1
amazon.co.jp,68.0,100.0,19.0,1585742400,1
amazon.com,18.0,100.0,14.0,1585742400,1
amazon.com.br,10.0,66.0,14.0,1577361600,1
amazon.es,7.0,90.0,19.0,1577793600,1
amazon.fr,7.0,100.0,19.0,1576152000,1
amazonaws.com,3.0,100.0,11.0,43200,0
amdbetsport.com,2.0,1.0,0.0,43200,0
ameba.jp,3.0,100.0,9.0,1572533940,1
americanexpress.com,350.0,100.0,16.0,1583323200,1
americanpatriotdaily.com,8.0,9.0,15.0,1577750399,1
americanpressinstitute.org,8.0,1.0,11.0,1572897937,1
americanthinker.com,3.0,5.0,17.0,1571681861,1
amerimarkperks.com,6.0,3.0,14.0,43200,0
amiez.org,2.0,10.0,6.0,1572382993,1
aminoapps.com,391.0,100.0,15.0,1588723199,1
amitoje.com,1.0,6.0,5.0,1568505599,1
amix-nutrition.cz,3.0,1.0,8.0,1605873600,1
amo.rocks,3.0,13.0,5.0,1572887536,1
amofilmes.net,19.0,4.0,8.0,43200,0
amore-mio.com,2.0,8.0,8.0,1573853461,1
amosbat.com,1.0,4.0,6.0,43200,0
amptweaker.com,4.0,1.0,13.0,1572902365,1
anadarko.com,2.0,61.0,23.0,1592503506,1
analtoday.com,3.0,5.0,9.0,1586001600,1
anastasiadate.com,254.0,48.0,15.0,1573603199,1
anastojanova.com,5.0,1.0,7.0,1569004851,1
ancensored.com,2.0,11.0,5.0,43200,0
ancientsculpturegallery.com,3.0,3.0,6.0,1583625599,1
andisheaftab.com,6.0,1.0,8.0,43200,0
andrewhawkes.co.uk,2.0,2.0,11.0,1569155105,1
android.com,500.0,26.0,22.0,1573489114,1
android.sc,18.0,1.0,15.0,1576497600,1
androidauthority.com,7.0,31.0,17.0,1578527999,1
androidcentral.com,21.0,19.0,18.0,1570838399,1
androidroothow.pro,2.0,1.0,7.0,1581379199,1
andysirkin.com,6.0,2.0,13.0,1583020799,1
angel.co,223.0,19.0,16.0,1572696000,1
angelicas-bakery.com,3.0,1.0,17.0,1581897599,1
anidub.com,21.0,15.0,6.0,1570075762,1
animalspirit.org,4.0,1.0,6.0,1569715579,1
anime-planet.com,8.0,1.0,16.0,1580255999,1
anime-sugoi.com,22.0,1.0,13.0,1583279999,1
anime-tochka.com,1.0,2.0,9.0,1573916400,1
anime1.me,7.0,14.0,17.0,1597752000,1
animeflv.ru,83.0,5.0,8.0,1583366399,1
animefreak.tv,20.0,30.0,10.0,1573819200,1
animeiat.co,2.0,7.0,0.0,43200,0
animelek.com,72.0,13.0,13.0,1595419200,1
animemusica.com,2.0,16.0,6.0,1579737599,1
animenine.com,5.0,7.0,9.0,1580428799,1
animevost.org,31.0,15.0,14.0,1575071999,1
anjodeluz.ning.com,1.0,1.0,0.0,43200,0
anmoljewellers.in,3.0,1.0,0.0,43200,0
annabmeyer.com,5.0,1.0,8.0,1570709216,1
annarecetasfaciles.com,25.0,2.0,9.0,1582934399,1
annodominiprofile.wordpress.com,0.0,0.0,0.0,43200,0
annuaire-telechargement.com,6.0,32.0,15.0,1578830400,1
antaranews.com,1.0,68.0,8.0,1567900799,1
antibuerokratieteam.net,1.0,5.0,5.0,1613174399,1
antonioscognamiglio.it,4.0,2.0,8.0,1594453923,1
anysex.com,6.0,17.0,6.0,1571691619,1
anyxxx.pro,22.0,1.0,7.0,1583711999,1
apache.org,10.0,100.0,15.0,1625097599,1
apartments.com,185.0,100.0,23.0,1569672000,1
apdance1.livejournal.com,5.0,0.0,0.0,43200,0
apexcctv.com,5.0,7.0,7.0,1570536000,1
apheo.ca,3.0,4.0,6.0,1574028629,1
apkguys.com,6.0,5.0,8.0,1583452799,1
apkpure.com,10.0,19.0,9.0,1578268799,1
apnacomplex.com,2.0,9.0,10.0,1575806400,1
apnews.com,6.0,8.0,21.0,1626634989,1
apollomaniacs.com,4.0,1.0,9.0,1581897599,1
apple-nic.com,27.0,13.0,6.0,1572866269,1
apple.com,5.0,100.0,19.0,1595246400,1
appolitics.net,3.0,2.0,0.0,43200,0
apushexplained.com,2.0,1.0,0.0,43200,0
aquasoft.net,2.0,7.0,8.0,1582329599,1
arabi21.com,20.0,15.0,20.0,1572998399,1
arabvet.com,2.0,1.0,6.0,43200,0
aramame.net,56.0,1.0,8.0,1580385600,1
aranzulla.it,2.0,5.0,9.0,1617407999,1
arbahpro.com,12.0,1.0,0.0,43200,0
arbcinema.com,3.0,13.0,6.0,1572015160,1
arboretum.org,1.0,3.0,0.0,43200,0
archdaily.com,449.0,35.0,16.0,1573067069,1
archive.org,6.0,100.0,11.0,1582325768,1
archiveofourown.org,2.0,9.0,7.0,1609804799,1
archplus.net,3.0,2.0,0.0,43200,0
ardfry.com,1.0,1.0,10.0,43200,0
arduino.cc,6.0,94.0,19.0,1571908841,1
aretepiattaforma.it,4.0,3.0,8.0,1581033599,1
argaam.com,6.0,28.0,20.0,1598745599,1
argentina-trabaja.com,5.0,1.0,4.0,43200,0
argos.co.uk,6.0,32.0,9.0,43200,0
aritzia.com,792.0,36.0,18.0,1596110400,1
arizona.edu,1.0,100.0,11.0,1592092799,1
armaghparish.net,3.0,1.0,8.0,43200,0
armcon-online.com,2.0,1.0,0.0,43200,0
armytek.com,5.0,6.0,8.0,43200,0
arrowheadforensics.com,2.0,1.0,8.0,1602158400,1
arshaconsulting.com,3.0,1.0,9.0,1593422160,1
arstechnica.com,3.0,26.0,12.0,1610755199,1
arxaiagumnasiou.net,4.0,1.0,9.0,1574047362,1
as.com,366.0,74.0,13.0,1573041600,1
asa-lab.net,3.0,1.0,0.0,43200,0
asahi.com,129.0,100.0,16.0,1596628800,1
asalkuhi.com,8.0,1.0,7.0,1589951231,1
asana.com,74.0,100.0,25.0,1590945723,1
asashutosh.weebly.com,0.0,0.0,0.0,43200,0
ascus.org.uk,1.0,1.0,5.0,1606867199,1
asecurecart.net,4.0,6.0,8.0,1613736000,1
ashdodrus.com,4.0,13.0,9.0,1591444800,1
ashemaletube.com,7.0,69.0,8.0,1573349301,1
ashro.com,161.0,9.0,10.0,1599652800,1
asianlive.in,1.0,2.0,7.0,1575705291,1
asiannudepic.com,5.0,1.0,10.0,43200,0
asilmedia.uz,9.0,8.0,8.0,1568742072,1
asimn.org,3.0,3.0,10.0,1574941293,1
ask.com,102.0,100.0,17.0,1594513484,1
ask.fm,41.0,100.0,27.0,1598535018,1
asktooltalk.com,1.0,3.0,5.0,1572201669,1
askubuntu.com,19.0,3.0,11.0,1571927913,1
aslinbeer.com,1.0,1.0,11.0,1573722014,1
asos.com,76.0,77.0,27.0,1593086400,1
aspilegnano.it,2.0,1.0,8.0,43200,0
asriran.com,3.0,10.0,11.0,1567500089,1
asrockrack.com,1.0,3.0,17.0,1598616000,1
assurancewireless.com,2.0,6.0,11.0,1597095524,1
astoundify.com,4.0,21.0,7.0,1631577599,1
astrologyanswers.com,2.0,36.0,17.0,1601769599,1
asu.edu,4.0,100.0,31.0,1618790399,1
asunsoft.com,3.0,6.0,6.0,1572766066,1
asus.com,2.0,100.0,23.0,43200,0
