code;benign_ratio;malicious_ratio;total
19679;0.10810810810810811;0.8918918918918919;37
198066;1.0;0.0;13
198622;1.0;0.0;68
201011;1.0;0.0;6
2044;1.0;0.0;26
20454;0.18461538461538463;0.8153846153846154;65
21740;1.0;0.0;3
23393;1.0;0.0;2
24638;1.0;0.0;74
26094;0.32;0.68;25
26667;1.0;0.0;203
27589;1.0;0.0;18
28753;0.2916666666666667;0.7083333333333334;24
29854;1.0;0.0;13
30633;0.6842105263157895;0.3157894736842105;19
3356;1.0;0.0;32
35041;0.35714285714285715;0.6428571428571429;28
37963;0.5657894736842105;0.4342105263157895;76
38843;1.0;0.0;14
39134;1.0;0.0;54
39572;1.0;0.0;8
40509;1.0;0.0;2
42481;1.0;0.0;14
43996;1.0;0.0;6
44239;1.0;0.0;50
45102;0.3851851851851852;0.6148148148148148;135
47447;1.0;0.0;24
49882;1.0;0.0;2
51013;1.0;0.0;2
51468;1.0;0.0;31
52016;1.0;0.0;14
53334;1.0;0.0;72
54312;1.0;0.0;37
54668;1.0;0.0;25
55569;1.0;0.0;12
55967;0.37383177570093457;0.6261682242990654;107
59253;1.0;0.0;2
8560;0.7021276595744681;0.2978723404255319;141
9009;1.0;0.0;108
;0.7942857142857143;0.2057142857142857;175
32244;0.39325842696629215;0.6067415730337079;89
36351;0.9947089947089947;0.005291005291005291;189
35415;0.5384615384615384;0.46153846153846156;39
29953;1.0;0.0;7
2516;1.0;0.0;27
54994;0.29411764705882354;0.7058823529411765;68
17506;1.0;0.0;11
42926;1.0;0.0;11
27357;1.0;0.0;8
5384;1.0;0.0;4
18501;1.0;0.0;10
577;1.0;0.0;12
812;0.48;0.52;25
29791;1.0;0.0;22
35220;1.0;0.0;20
36089;1.0;0.0;102
63949;0.3103448275862069;0.6896551724137931;87
18434;1.0;0.0;13
205119;1.0;0.0;11
19907;1.0;0.0;2
45991;1.0;0.0;3
38099;1.0;0.0;9
9764;1.0;0.0;6
36408;1.0;0.0;6
11892;1.0;0.0;4
26347;1.0;0.0;36
40905;1.0;0.0;1
22612;0.6470588235294118;0.35294117647058826;34
55081;0.8;0.2;5
13768;0.96;0.04;25
32748;1.0;0.0;68
558;1.0;0.0;16
29789;1.0;0.0;4
47541;1.0;0.0;36
29873;0.4358974358974359;0.5641025641025641;39
201133;1.0;0.0;2
7979;1.0;0.0;27
24679;1.0;0.0;8
44112;1.0;0.0;4
25227;1.0;0.0;4
12695;1.0;0.0;5
43226;1.0;0.0;6
28907;0.5714285714285714;0.42857142857142855;7
52030;0.23809523809523808;0.7619047619047619;21
31034;0.6304347826086957;0.3695652173913043;46
53850;1.0;0.0;12
35470;1.0;0.0;3
7393;1.0;0.0;35
20860;0.30434782608695654;0.6956521739130435;46
32475;0.31868131868131866;0.6813186813186813;182
34168;1.0;0.0;3
49505;1.0;0.0;3
47764;1.0;0.0;7
8968;1.0;0.0;10
15589;1.0;0.0;10
4694;1.0;0.0;13
2497;1.0;0.0;15
24572;1.0;0.0;23
23816;1.0;0.0;13
41962;1.0;0.0;39
23252;1.0;0.0;12
12552;1.0;0.0;2
53589;1.0;0.0;2
12876;0.4835164835164835;0.5164835164835165;91
36444;1.0;0.0;8
133618;0.5;0.5;46
61969;0.42857142857142855;0.5714285714285714;56
40034;0.07317073170731707;0.926829268292683;164
30148;0.5909090909090909;0.4090909090909091;44
7151;1.0;0.0;11
19541;1.0;0.0;14
395686;1.0;0.0;14
53886;1.0;0.0;2
15830;1.0;0.0;9
11742;1.0;0.0;1
207100;1.0;0.0;11
19574;1.0;0.0;11
15961;1.0;0.0;1
53831;0.463768115942029;0.5362318840579711;138
4837;0.9285714285714286;0.07142857142857142;14
58461;1.0;0.0;23
42807;1.0;0.0;3
201999;1.0;0.0;2
22611;0.5428571428571428;0.45714285714285713;35
32613;0.23809523809523808;0.7619047619047619;21
8972;0.575;0.425;40
16552;1.0;0.0;15
41508;1.0;0.0;2
29017;0.8181818181818182;0.18181818181818182;11
21409;1.0;0.0;2
61098;1.0;0.0;10
3064;0.8461538461538461;0.15384615384615385;13
3728;1.0;0.0;9
